BASS,SASQ,Shade,EmergVegDensity,EmergWMDensity,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15
0,0,A,A,S,0.7,3,4.1,M/V,M/V,M,0.01,0.14,0.3
0,0,A,A,S,0.7,1.4,3.9,M/V,M/V,M,0.05,0.11,0.21
0,0,A,A,S,2,3.9,5.2,M,M,M,0.03,0.21,0.53
0,0,A,A,A,2.5,4.9,5.4,R,M,M,0.24,0.57,0.64
0,0,A,A,A,2.9,4.7,6,M/R,M,M,0.35,0.44,0.49
1,0,P,A,A,1.4,2.1,3.2,M,M/R,M/R,0.05,0.01,0.16
1,0,P,A,S,1.4,2.1,4.5,R,R,R,0.05,0.08,0.09
5,0,P,A,A,2,2.1,2.4,M/R,R,R,0.43,0.41,0.74
0,0,A,A,A,1.9,2.7,4.4,M/R,M/R,M/R,0.29,0.34,0.56
1,0,P,A,A,2,3.7,5.4,R,M/R,M/R,0.08,0.3,0.41
0,0,P,A,A,2.8,4.6,5.7,M/R,M,M/R,0.08,0.22,0.39
2,0,P,A,A,2.3,4.5,6.2,R,R,M/R,0.08,0.13,0.45
0,0,P,A,A,2.4,4.2,6.3,R,M/R,M,0.05,0.25,0.31
0,0,P,A,A,2.2,4.1,5.9,R,R,M/R,0.12,0.35,0.41
0,0,P,A,A,1.5,4,6.2,R,M/R,R,0.19,0.21,0.3
0,0,P,A,A,2.1,5.2,7.4,R,M,M/R,0.11,0.15,0.27
0,0,P,A,A,2.6,5.7,7.5,R,M/R,M,0.07,0.15,0.32
0,0,P,A,A,1.6,4.8,5.9,R,R,R,0.12,0.24,0.32
1,0,P,A,A,3.6,7.2,8.8,R,M/R,M,0.02,0.12,0.05
0,0,P,A,M,2.1,5.6,8.4,R,R,M,0.06,0.08,0.07
2,0,P,A,A,2,2.6,4.8,M/R,M/R,M/R,0.01,0.15,0.2
1,0,P,A,A,2,3.8,5.5,M/R,M/R,R,0.23,0.18,0.41
0,0,P,A,A,2.3,4.7,6.6,R,M/R,M,0.01,0.2,0.29
0,0,P,A,A,2.2,3.7,4,M/R,M,R,0.02,0.12,0.27
0,0,P,A,A,1.9,3,5.3,M/R,R,M/R,0.05,0.06,0.14
0,0,A, A,A,0.4,0.7,1.1,M,M,M,0.04,0.06,0.01
0,0,A,A,A,0.5,1.1,2,M,M,M,0.01,0.03,0.12
1,0,A,A,A,0.8,1,0.9,M/R,M,M,0.1,0.08,0.08
0,0,A,A,A,1.9,2.5,3.4,M,M,M,0.01,0.02,0.16
0,0,A,A,A,0.8,1.1,1.7,M,M,M,0.05,0.09,0.18
0,0,A,A,A,0.6,1.1,1.4,M/R,M,M,0.13,0.03,0.12
0,0,A,A,A,1,2.4,3.4,M,M,M,0.07,0.01,0.07
0,0,A,A,A,1.7,3.6,4.3,M/R,M/R,M,0.02,0.11,0.13
0,0,A,A,A,0.4,1.1,2.9,R,R,M/R,0.02,0.04,0.1
0,0,A,A,A,1.1,1.4,2.2,M/V,M/V,M,0.05,0.27,0.36
0,0,A,A,A,2.1,2.8,2.9,M,M,M,0.17,0.22,0.2
0,0,A,A,A,1.7,1.7,2,M,M,M,0.23,0.25,0.34
0,0,A,A,A,1.9,3.4,3.6,M/R,M,M,0.08,0.13,0.18
0,0,A,A,A,1.2,1,3.2,M,M,M,0.02,0.28,0.34
0,0,A,A,A,1.3,3,2.9,M,M,M,0.01,0.03,0.02
0,0,A,A,A,0.9,1.2,2.3,M/R,M,M,0.02,0.08,0.02
0,0,A,A,A,0.7,1.2,2.6,M,M/V,M,0,0.04,0.02
0,0,A,A,A,0.7,1.2,2.8,M/V,M/V,M,0.02,0.07,0.09
0,0,A,A,A,0.9,1.5,2.8,M/V,M/V,M,0.03,0.06,0.07
0,0,A,A,A,0.9,1.4,0.27,M/V,M/V,M/V,0.01,0.01,0.01
0,0,A,A,A,0.9,1.4,2.6,M/V,M/V,M,0.01,0.05,0.05
0,0,A,A,A,1.4,3.1,4.1,M,M/V,M,0.05,0.06,0.09
0,0,A,A,A,1.2,2.2,3.2,M/R,M/V,M,0.05,0.08,0.09
1,0,A,A,A,1.8,3.4,5.2,M/R,M,M,0.03,0.07,0.03
2,0,A,A,A,1.7,3.8,5.4,R,M/R,M,0.06,0.1,0.14
0,0,A,A,A,1.7,4,6,R,M/R,M,0.08,0.05,0.06
0,0,A,A,A,1.6,3.8,6,R,M,M,0.05,0.11,0.13
1,0,A,A,A,1.6,3,4.9,R,M,M,0.06,0.16,0.1
0,0,A,A,A,1.9,3.9,5.8,R,M/R,M,0.07,0.11,0.16
0,0,A,A,S,2.2,4.3,5.8,R,M,M,0.02,0.09,0.12
